1.2.2.27	Értékesítési területek kezelése az adatimport során.
1.2.3.58	Az átvételi utasítások kiegészítése új szakaszokkal, és egyéb formai változások.
1.2.3.59	A TMO rajztár beviteli szabályainak szigorítása, a fájlnév generálása rajzszám alapján.
1.2.3.60	A TMO rajztár beviteli hibajavítás.
1.2.3.61	Az átvételi utasítások szakaszai megenevezésének módosítása. 
1.2.3.62	Az átvételi utasítások készítésének módosítása.
1.2.3.63	Hibajavítás.
1.2.3.64	"Mf cikkszámok" fülön "Darabjegyzék" mezõ bevezetése.
1.2.3.65	Alkatrészlista változások követése email értesítéssel.
1.2.3.66	Elõrendelések kiegészítése táblázatos megjelenítéssel és vágólapra másolással.
1.2.3.67	Adatbázis beállítási hibajavítás.
1.2.3.68	Kisebb módosítások.
1.2.3.69	Koncepcionális fejlesztési módosítás.
1.2.3.70	Program frissítési módosítás.
1.2.3.71	Az SAP import adatok meglétének ellenõrzése, a hiányok megjelenítése. Figyelmeztetés az adatok felvitele során.
